Country Names,simulation1,simulation2,simulation3,simulation4,simulation5,simulation6,simulation7,simulation8,simulation9,simulation10,simulation11,simulation12,simulation13,simulation14,simulation15,simulation16,simulation17,simulation18,simulation19,simulation20,simulation21,simulation22,simulation23,simulation24,simulation25,simulation26,simulation27,simulation28,simulation29,simulation30,simulation31,simulation32,simulation33,simulation34,simulation35,simulation36,simulation37,simulation38,simulation39,simulation40,simulation41,simulation42,simulation43,simulation44,simulation45,simulation46,simulation47,simulation48,simulation49,simulation50,simulation51,simulation52,simulation53,simulation54,simulation55,simulation56,simulation57,simulation58,simulation59,simulation60,simulation61,simulation62,simulation63,simulation64,simulation65,simulation66,simulation67,simulation68,simulation69,simulation70,simulation71,simulation72,simulation73,simulation74,simulation75,simulation76,simulation77,simulation78,simulation79,simulation80,simulation81,simulation82,simulation83,simulation84,simulation85,simulation86,simulation87,simulation88,simulation89,simulation90,simulation91,simulation92,simulation93,simulation94,simulation95,simulation96,simulation97,simulation98,simulation99
UKR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,4,3,4,4,5,4,6,5,4,7,5,3,5,4,6,7,4,7,4,5,6,5,5,5,4,4,4,4,4,5,7,5,4,3,5,4,6,3,5,6,3,6,8,6,5,6,5,8,5,4,6,4,5,3,4,4,5,6,6,7,5,4,5,5,3,4,7,5,7,6,6,4,7,6,4,3,5,6,5,5,6,4,5,5,5,3,5,6,7,6,4,6,7,6,5,2,5,5,4
ESP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITA,7,4,5,5,3,6,4,4,5,4,6,6,5,8,5,4,7,4,5,6,4,5,5,5,4,3,4,5,4,4,3,6,5,7,8,7,7,6,5,4,7,2,4,5,4,2,2,4,3,6,3,6,4,4,6,5,7,4,6,4,4,2,7,5,4,6,3,4,4,3,5,7,3,3,5,8,5,5,4,3,4,5,3,5,8,5,4,3,6,4,4,5,6,4,3,6,6,4,5
GER,1,1,0,0,2,2,3,1,3,2,1,0,1,1,2,2,1,0,0,2,1,2,2,2,2,3,2,1,2,1,2,2,0,1,1,0,1,1,2,2,2,3,2,1,3,2,3,2,1,2,1,3,2,2,2,1,1,1,2,3,0,2,1,0,2,2,2,2,0,1,1,2,0,1,1,1,2,2,0,2,2,0,1,2,1,3,1,1,0,2,3,0,2,1,2,1,1,2,0
AUS,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
FRA,3,3,2,4,2,1,3,3,1,2,1,2,1,2,2,3,3,2,3,0,1,3,2,1,5,2,2,5,3,2,3,2,3,4,0,2,2,3,2,2,1,1,0,1,2,2,2,2,2,3,2,1,2,2,4,3,2,3,0,2,3,2,2,3,3,1,2,3,2,3,1,2,2,4,3,2,2,2,5,5,1,3,3,1,1,1,3,3,1,2,3,3,2,3,3,2,3,4,2
HUN,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
JPN,2,3,6,3,4,3,1,2,3,2,2,4,3,1,3,1,2,2,5,2,4,2,3,3,2,4,3,3,3,3,1,2,5,2,3,3,2,4,3,3,2,4,2,5,2,3,4,2,4,0,5,3,1,4,1,2,2,4,0,0,3,6,2,3,3,4,3,3,4,3,3,3,4,3,4,4,3,2,3,2,3,4,5,3,3,4,2,2,3,1,2,3,1,3,4,5,2,1,5
NED,1,2,1,2,0,1,0,2,1,0,2,2,1,1,0,1,0,2,1,1,2,1,0,2,1,1,2,0,2,2,2,0,1,1,1,2,0,1,1,0,1,1,2,0,1,1,2,0,1,1,1,1,2,3,0,2,1,0,2,1,2,2,1,1,2,1,1,1,1,2,1,0,1,0,1,0,1,1,0,0,1,2,1,2,0,1,2,2,0,3,2,1,0,0,1,1,1,1,1
FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UKR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
